JOB;EVENT;EVENT_TIME
2;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;1
1;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;1
2;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;1
1;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;1
2;PROCESS_CONSUME_CPU;1
2;PROCESS_CONSUME_CPU;2
2;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;2
3;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;3
3;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;3
1;PROCESS_CONSUME_CPU;3
1;PROCESS_CONSUME_CPU;4
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;4
2;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;4
2;PROCESS_CONSUME_IO;4
3;PROCESS_CONSUME_CPU;5
3;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;5
2;PROCESS_CONSUME_IO;5
2;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;5
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;6
3;PROCESS_CONSUME_IO;6
2;PROCESS_CONSUME_CPU;7
3;PROCESS_CONSUME_IO;7
2;PROCESS_CONSUME_CPU;8
2;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;8
2;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;8
3;PROCESS_CONSUME_IO;8
4;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;9
4;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;9
4;PROCESS_CONSUME_CPU;9
3;PROCESS_CONSUME_IO;9
4;PROCESS_CONSUME_CPU;10
4;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;10
3;PROCESS_CONSUME_IO;10
11;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;11
11;PROCESS_TRANSFER_FROM_ACTIVE_TO_CANCELLED_EVENT_EV2 - Memoria insuficiente;11
4;PROCESS_CONSUME_CPU;11
4;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;11
3;PROCESS_CONSUME_IO;11
3;PROCESS_CONSUME_IO;12
3;PROCESS_CONSUME_IO;13
3;PROCESS_CONSUME_IO;14
5;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;15
3;PROCESS_CONSUME_IO;15
3;PROCESS_CONSUME_IO;16
3;PROCESS_CONSUME_IO;17
3;PROCESS_CONSUME_IO;18
3;PROCESS_CONSUME_IO;19
3;PROCESS_CONSUME_IO;20
3;PROCESS_CONSUME_IO;21
6;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;22
3;PROCESS_CONSUME_IO;22
3;PROCESS_CONSUME_IO;23
3;PROCESS_CONSUME_IO;24
3;PROCESS_CONSUME_IO;25
3;MEMORY_CLEAR_20_TABLES;25
3;PROCESS_FINISH_ON_IO;25
1;PROCESS_CONSUME_IO;26
1;PROCESS_CONSUME_IO;27
1;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;27
1;PROCESS_CONSUME_CPU;28
2;PROCESS_CONSUME_IO;28
1;PROCESS_CONSUME_CPU;29
1;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;29
